lunch total score
standard 218
standard 247
standard 278
free/reduced 148
standard 229
standard 232
standard 275
free/reduced 122
free/reduced 195
free/reduced 148
standard 164
standard 135
standard 219
standard 220
standard 161
standard 222
standard 263
free/reduced 78
free/reduced 134
free/reduced 173
standard 198
free/reduced 210
standard 151
standard 215
free/reduced 225
free/reduced 219
standard 178
standard 211
standard 205
standard 207
standard 217
standard 189
free/reduced 193
standard 120
standard 266
standard 241
standard 238
free/reduced 173
free/reduced 253
free/reduced 170
free/reduced 170
standard 199
standard 176
free/reduced 190
free/reduced 160
standard 176
standard 182
standard 213
free/reduced 207
standard 248
standard 156
free/reduced 214
standard 139
standard 241
free/reduced 242
free/reduced 117
standard 253
standard 156
standard 175
free/reduced 27
free/reduced 225
free/reduced 112
free/reduced 178
standard 220
standard 176
standard 192
free/reduced 119
standard 206
free/reduced 175
standard 160
free/reduced 194
standard 181
free/reduced 140
free/reduced 174
standard 139
free/reduced 123
standard 78
standard 239
standard 207
standard 198
standard 146
free/reduced 139
free/reduced 151
standard 199
free/reduced 115
standard 235
free/reduced 247
standard 216
standard 195
standard 241
standard 211
free/reduced 97
standard 221
free/reduced 138
standard 257
free/reduced 241
standard 193
standard 205
free/reduced 187
standard 194
standard 213
standard 216
standard 265
standard 151
standard 274
standard 197
standard 287
standard 193
free/reduced 198
standard 206
free/reduced 264
standard 166
standard 154
standard 163
standard 299
standard 235
free/reduced 242
standard 239
standard 175
standard 189
standard 260
standard 272
standard 274
free/reduced 176
standard 236
standard 268
standard 207
standard 216
standard 238
standard 151
standard 255
free/reduced 130
free/reduced 231
standard 240
free/reduced 228
standard 161
standard 146
standard 181
standard 192
standard 201
standard 219
free/reduced 185
free/reduced 151
standard 147
standard 239
free/reduced 94
standard 247
free/reduced 207
standard 224
free/reduced 293
standard 198
standard 212
standard 195
standard 150
standard 190
standard 247
free/reduced 218
free/reduced 180
standard 234
free/reduced 192
free/reduced 234
free/reduced 248
free/reduced 154
standard 154
standard 264
standard 296
free/reduced 155
free/reduced 212
standard 229
free/reduced 212
standard 219
standard 260
standard 246
standard 200
free/reduced 148
standard 259
free/reduced 158
standard 225
free/reduced 184
standard 297
free/reduced 205
free/reduced 176
standard 147
standard 204
free/reduced 146
free/reduced 197
standard 221
standard 196
free/reduced 145
standard 252
standard 200
standard 238
standard 192
standard 201
standard 238
standard 168
free/reduced 193
free/reduced 162
free/reduced 153
free/reduced 233
standard 237
free/reduced 223
standard 215
standard 194
standard 142
standard 223
standard 206
standard 237
free/reduced 231
free/reduced 185
free/reduced 238
free/reduced 90
free/reduced 164
free/reduced 167
standard 259
standard 242
free/reduced 257
free/reduced 115
free/reduced 213
standard 173
standard 198
standard 245
free/reduced 182
standard 241
standard 191
free/reduced 155
standard 215
standard 161
free/reduced 204
standard 277
standard 206
standard 131
standard 236
standard 257
standard 249
standard 232
free/reduced 196
standard 198
standard 157
standard 244
free/reduced 207
standard 246
standard 163
standard 153
standard 218
standard 232
standard 239
standard 196
standard 191
standard 181
standard 145
free/reduced 237
standard 200
standard 232
standard 158
standard 205
free/reduced 205
standard 232
standard 223
free/reduced 227
free/reduced 220
standard 236
free/reduced 145
standard 282
standard 217
free/reduced 142
standard 219
standard 218
standard 275
free/reduced 217
standard 193
standard 149
free/reduced 158
standard 206
standard 249
standard 234
standard 270
standard 197
free/reduced 231
free/reduced 186
standard 147
standard 139
free/reduced 236
free/reduced 226
standard 129
standard 245
standard 267
standard 238
free/reduced 239
standard 230
standard 214
standard 229
standard 180
standard 213
free/reduced 235
free/reduced 189
standard 130
standard 213
free/reduced 136
free/reduced 252
free/reduced 240
free/reduced 162
standard 232
standard 220
standard 232
standard 205
standard 267
standard 147
free/reduced 191
free/reduced 158
standard 229
standard 183
standard 196
free/reduced 204
standard 198
standard 202
standard 250
standard 233
standard 203
free/reduced 184
free/reduced 230
standard 240
standard 232
free/reduced 149
free/reduced 130
standard 266
standard 184
free/reduced 70
standard 234
standard 147
standard 192
standard 119
standard 171
standard 249
standard 271
free/reduced 195
standard 215
standard 143
free/reduced 89
free/reduced 150
free/reduced 171
